epoch,train_c_loss,train_c_accuracy,val_loss,val_accuracy,test_c_loss,test_c_accuracy,learning_rate
24,1.0353034226894378,0.7035238266289234,|,1.084030127843221,0.6469841453234355,|,0.00018530498374268737
25,1.0325324236154556,0.7055238265097141,|,1.0854471696217856,0.6471111296017965,|,0.00016677465214307076
26,1.0339876180291176,0.7040952550470829,|,1.0402559378941854,0.680253986120224,|,0.0001500973370261007
27,1.0273289981484413,0.7111904927194118,|,1.0464825895627339,0.6765714464187622,|,0.0001500973370261007
28,1.0206399053931237,0.7150476355850697,|,1.0677538121541341,0.6670476366678874,|,0.00013508773841122904
29,1.0236930932998658,0.7158095403313637,|,1.0442526073455811,0.6797460496425629,|,0.00012157908614919228
30,1.0238992015719415,0.7155714449882508,|,1.0360242910385131,0.680127001841863,|,0.00012157908614919228
31,1.0202175869941712,0.7176666828095913,|,1.0326108633677165,0.6754285895824432,|,0.00010942128695556
32,1.0159290164113044,0.7232381113767624,|,1.0333374813397724,0.6893968427975973,|,9.847925673926074e-05
33,1.014186650276184,0.7272857300043106,|,1.0384174467722576,0.6817777953942616,|,9.847925673926074e-05
34,1.0131457862854003,0.7268095397055149,|,1.061963483651479,0.6662857331434886,|,8.863141969675436e-05
35,1.015402841746807,0.7264285874664783,|,1.0251935385068258,0.6961270011266073,|,7.976835749543641e-05
36,1.013168230175972,0.7243809684216976,|,1.0401739360491435,0.6816508119106293,|,7.976835749543641e-05
37,1.0090720003247262,0.7269523967802525,|,1.0358487337430318,0.6821587478319804,|,7.179159353748631e-05
38,1.0069879306554794,0.7340476345419884,|,1.0533957619667054,0.6683174784183502,|,6.461249879623648e-05
39,1.0074534192085267,0.7340952536165715,|,1.0336142470041911,0.6848254144191742,|,6.461249879623648e-05
40,1.0077199192643165,0.7366190629601479,|,1.0204657464027405,0.700063509384791,|,5.815130706791989e-05
41,1.0086787326931954,0.7295238252282142,|,1.0293830089569092,0.6901587476730346,|,5.23362286973566e-05
42,1.00710616004467,0.7365238249003887,|,1.0310692043304444,0.6893968430360158,|,5.23362286973566e-05
43,1.0047642387151718,0.7381904916763306,|,1.022451763788859,0.6962539854844412,|,4.710265293027387e-05
44,1.004776228070259,0.7359047774076461,|,1.0285942800839742,0.6864762081305186,|,4.239243002967651e-05
45,1.0049628773927688,0.736476205766201,|,1.0198976454734803,0.7024762071768442,|,4.239243002967651e-05
46,1.003290397465229,0.7345238249599934,|,1.0179931246439615,0.7046349376837413,|,3.815322517993404e-05
47,1.0039572761058808,0.7398571581840515,|,1.0260509300231933,0.6928254141807556,|,3.433793699987763e-05
48,1.0032896136641503,0.7381904915571212,|,1.0241142010688782,0.6905397000312805,|,3.433793699987763e-05
49,1.0009824174046515,0.7423333485424518,|,1.016299942970276,0.6982857314745585,|,3.090417420406407e-05
50,1.0021914989352225,0.7429523960053921,|,1.0219259794553122,0.6918095413843791,|,2.781378459744226e-05
51,0.9987834879755974,0.7450000148415565,|,1.014530428727468,0.7069206516742707,|,2.781378459744226e-05
52,1.0018584983944894,0.7366666820049286,|,1.0158259228070576,0.6999365250269572,|,2.5032431170129203e-05
53,1.001616661787033,0.737000015437603,|,1.0143155024846395,0.7094603340625762,|,2.2529210582326862e-05
54,0.998037013053894,0.746809538692236,|,1.0153810903231304,0.6993016045888265,|,2.2529210582326862e-05
55,1.0019707735180854,0.7357619203031063,|,1.0117404109636943,0.7051428740819295,|,2.0276309800403976e-05
56,0.9988146208524704,0.745428586423397,|,1.0181722151438395,0.6968889060815175,|,1.8248697069060645e-05
57,0.997735205411911,0.7450000149309635,|,1.0146190516153972,0.7042539850076039,|,1.8248697069060645e-05
58,1.0006219379305838,0.7371428725123406,|,1.0148262224197389,0.7005714457829794,|,1.6423843785998366e-05
59,0.999027640581131,0.7481428719460964,|,1.015043905099233,0.7003174778620402,|,1.4781474188872717e-05
60,0.997166543841362,0.7546190620660782,|,1.019954841295878,0.6958730332056682,|,1.4781474188872717e-05
61,0.9980602219700814,0.7440000151097774,|,1.0125636410713197,0.7113650958538056,|,1.330334007332552e-05
62,0.9995630125999451,0.7420476342439651,|,1.0149098768234253,0.7022222392559051,|,1.1973018039011007e-05
63,0.9981341549158096,0.7454762054383754,|,1.0123273126284282,0.7050158898830414,|,1.1973018039011007e-05
64,0.9975689168572426,0.7453333483040333,|,1.0165470487276713,0.7008254137833914,|,1.0775727010836917e-05
65,0.9975241376161575,0.7433333484828473,|,1.018069540341695,0.6957460490862528,|,9.698164007917233e-06
66,0.9974723815917969,0.7431428723037243,|,1.0140311024983724,0.7005714455445607,|,9.698164007917233e-06
67,0.9972024328112602,0.7464762053489685,|,1.0152619152069091,0.7004444613456726,|,8.728356335481845e-06
68,0.9968251070380211,0.7445238244831562,|,1.0154408113161724,0.6938412872950236,|,7.855528557462218e-06
